route,route_group,required_permission,capability_key,module_key,plan_requirement,scope_requirement,mutation_read_only,canonical_roles_allowed,legacy_compatibility,backend_guard,frontend_guard,expected_access,finding
/bia,operations-resilience,bia.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/bia/[id],operations-resilience,bia.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/ciclo-vida,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/conectores,operations-resilience,connectors.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/conectores/[id],operations-resilience,connectors.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/conectores/salud,operations-resilience,connectors.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/conectores/sincronizaciones,operations-resilience,connectors.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/configuracion,administration,users.manage,tenant.admin,core,ANY_ACTIVE_COMMERCIAL_TENANT,tenant_admin,read_only,tenant_admin,preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_TENANT_ADMIN_ONLY,NO_FAILURE
/continuidad,operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/continuidad/planes/[id],operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/continuidad/pruebas,operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/continuidad/pruebas/[id],operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/controles,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/cotizador,dealer,dealer.clients.view,dealer.console,dealer,DEALER_ASSIGNMENT,dealer_tenant_access,read_only,dealer,preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_ASSIGNED_TENANTS_ONLY,NO_FAILURE
/crisis,operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/crisis/[id],operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/cumplimiento-auditoria,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/dashboard,home,dashboards.read,core.dashboard,core,ANY_ACTIVE_COMMERCIAL_TENANT,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_PERMISSION_ENTITLEMENT_MODULE_SCOPE,NO_FAILURE
/datos,intelligence,data.catalog.read,data.governance,data_governance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/datos/calidad,intelligence,data.catalog.read,data.governance,data_governance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/datos/catalogo,intelligence,data.catalog.read,data.governance,data_governance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/datos/lineage,intelligence,data.catalog.read,data.governance,data_governance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/datos/semantica,intelligence,data.catalog.read,data.governance,data_governance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/dealer,dealer,dealer.clients.view,dealer.console,dealer,DEALER_ASSIGNMENT,dealer_tenant_access,read_only,dealer,preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_ASSIGNED_TENANTS_ONLY,NO_FAILURE
/diagnostico,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/documentos,data-evidence,evidences.view,evidence.library,evidences,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/ejecucion-iso,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/empresas,platform,commercial.subscription.read,platform.admin,platform,PLATFORM_CONTEXT,platform,read_only,platform_admin,preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_PLATFORM_ONLY,NO_FAILURE
/encuestas,intelligence,surveys.read,surveys.engine,surveys_assessments,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/encuestas/[id],intelligence,surveys.read,surveys.engine,surveys_assessments,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/evaluaciones,intelligence,surveys.read,surveys.engine,surveys_assessments,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/eventos-perdida,risk-control,loss_events.read,loss.events,operational_losses,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/evidencias,data-evidence,evidences.view,evidence.library,evidences,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/exportes,reports,reports.read,core.reports,core,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_REPORTS_ENTITLED,NO_FAILURE
/grc,intelligence,data.catalog.read,data.governance,data_governance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/grc-global,operations-resilience,workflow.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/hallazgos,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/health,compliance,framework.read,iso.health,health,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/ia,intelligence,ai_compliance.read,ai.compliance,ai_compliance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/ia-auditor,intelligence,audit.review,ai.auditor,ai_compliance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/ia-compliance,intelligence,ai_compliance.read,ai.compliance,ai_compliance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/ia-compliance/sugerencias,intelligence,ai_compliance.read,ai.compliance,ai_compliance,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/importaciones,operations-resilience,operations.import,imports.excel,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/incidentes,operations-resilience,incidents.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/incidentes/[id],operations-resilience,incidents.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/indicadores,operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/indicadores/[id],operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/iso-health,compliance,framework.read,iso.health,health,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/login,public-entry,,,,PUBLIC_AUTH,none,read_only,"anonymous,authenticated",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_PUBLIC_AUTH,NO_FAILURE
/matriz-riesgo,risk-control,risk_matrix.view,iso.risk,risks,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_RISK_ENTITLED,NO_FAILURE
/metricas,intelligence,metrics.read,metrics.catalog,metrics_bi,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/metricas/[id],intelligence,metrics.read,metrics.catalog,metrics_bi,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/metricas/constructor,intelligence,metrics.read,metrics.catalog,metrics_bi,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/no-conformidades,compliance,framework.read,iso.compliance,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/operaciones-grc,operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/operaciones-grc/activacion,operations-resilience,operations.dashboard.read,grc.phase3,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/operaciones-grc/importar,operations-resilience,operations.import,imports.excel,operations_grc,ISO_RIESGO_OPERATIVO_OR_GRC,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_OPERATIONAL_RISK_ENTITLED,NO_FAILURE
/perfil,administration,profile.read,core.profile,core,ANY_ACTIVE_COMMERCIAL_TENANT,self,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_SELF,NO_FAILURE
/perfil-empresa,administration,users.manage,tenant.admin,core,ANY_ACTIVE_COMMERCIAL_TENANT,tenant_admin,read_only,tenant_admin,preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_TENANT_ADMIN_ONLY,NO_FAILURE
/plan-accion,audit-improvement,actions.read,iso.actions,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/planes-accion,audit-improvement,actions.read,iso.actions,iso,ISO_OR_HIGHER,tenant,read_only,"tenant_admin,auditor,area_owner,executive",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_ISO_ENTITLED,NO_FAILURE
/portal-proveedor,operations-resilience,suppliers.read,tprm.suppliers,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/prefacturacion,dealer,dealer.clients.view,dealer.console,dealer,DEALER_ASSIGNMENT,dealer_tenant_access,read_only,dealer,preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_ASSIGNED_TENANTS_ONLY,NO_FAILURE
/privacidad,operations-resilience,privacy.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/privacidad/actividades,operations-resilience,privacy.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/privacidad/actividades/[id],operations-resilience,privacy.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
/privacidad/brechas,operations-resilience,privacy.read,grc.phase2,integrated_grc,GRC_ONLY_OR_EXPLICIT_ADDON,tenant,read_only,"tenant_admin,auditor,area_owner",preserve_effective_legacy_role_no_privilege_escalation,rbac.middleware + commercialEntitlement.middleware,AppLayout + mvpPermissions + useTenantEntitlements,ALLOW_IF_GRC_ADVANCED_ENTITLED,NO_FAILURE
